                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
          HESSJ1943+213-B      57137.43               8.3710e+32               1.4957e+33               6.0087e+34               3.8738e+33
          HESSJ1943+213-B      57139.41               4.5162e+33               1.4974e+33               6.5280e+34               4.8098e+33
          HESSJ1943+213-B      57140.39               4.0066e+00               3.6901e+01               6.1204e+34               4.5095e+33
          HESSJ1943+213-B      57462.53               3.9335e+00               3.6227e+01               6.1204e+34               1.0146e+34
          HESSJ1943+213-B      57469.52               4.2734e+00               3.9358e+01               6.1770e+34               9.6713e+33
          HESSJ1943+213-B      57488.48               8.0682e+34               1.0403e+34               6.1204e+34               7.8916e+33
          HESSJ1943+213-B      57517.48               3.5545e+52               2.6435e+55               5.8449e+34               4.3065e+33
          HESSJ1943+213-B      57582.18               3.7220e+00               3.4280e+01               6.5884e+34               6.6747e+33
          HESSJ1943+213-B      57631.14               3.6541e+00               3.3654e+01               7.0271e+34               5.1776e+33
          HESSJ1943+213-B      57663.11               1.0734e+33               1.3248e+33               6.7729e+34               6.2379e+33
          HESSJ1943+213-B      57819.54               4.0811e+00               3.7587e+01               1.0636e+35               1.5673e+34
