                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      57106.51               8.5027e+33               1.3313e+33               1.0606e+35               3.9073e+33
            HESSJ1943+213      57107.52               1.2066e+34               3.2227e+33               1.0509e+35               5.8072e+33
            HESSJ1943+213      57110.52               9.8528e+33               2.7223e+33               1.1106e+35               4.0915e+33
            HESSJ1943+213      57117.45               6.2742e+33               2.5426e+33               1.0036e+35               4.6216e+33
            HESSJ1943+213      57131.48               1.0903e+34               1.2050e+33               1.0704e+35               3.9435e+33
            HESSJ1943+213      57135.48               1.4111e+34               1.2996e+33               1.0704e+35               3.9435e+33
            HESSJ1943+213      57137.43               9.4964e+33               1.2245e+33               1.1106e+35               4.0915e+33
            HESSJ1943+213      57139.40               1.1523e+34               1.2735e+33               1.1106e+35               4.0915e+33
            HESSJ1943+213      57140.39               1.0803e+34               1.4925e+33               1.1313e+35               4.1675e+33
            HESSJ1943+213      57172.48               6.2167e+33               2.8628e+33               1.1523e+35               6.3675e+33
            HESSJ1943+213      57184.37               7.0074e+33               1.2262e+33               1.1313e+35               5.2094e+33
            HESSJ1943+213      57188.47               3.6438e+33               2.5841e+33               1.0803e+35               5.9699e+33
            HESSJ1943+213      57192.25               9.5843e+33               1.3241e+33               1.0903e+35               5.0210e+33
            HESSJ1943+213      57193.44               1.3109e+34               1.3280e+33               1.1106e+35               6.1372e+33
            HESSJ1943+213      57194.40               8.2710e+33               1.2188e+33               1.1106e+35               5.1143e+33
            HESSJ1943+213      57283.14               1.9841e+41               1.8365e+42               1.9841e+41               1.8365e+42
            HESSJ1943+213      57294.11               9.0690e+33               1.5870e+33               1.1004e+35               4.0540e+33
            HESSJ1943+213      57304.09               1.0606e+34               9.7683e+32               1.1106e+35               4.0915e+33
            HESSJ1943+213      57327.07               1.0223e+34               1.0356e+33               1.1417e+35               5.2576e+33
            HESSJ1943+213      57333.07               1.1523e+34               1.2735e+33               1.1106e+35               5.1143e+33
            HESSJ1943+213      57349.06               1.2635e+34               2.3273e+33               1.1417e+35               6.3091e+33
            HESSJ1943+213      57350.05               1.4111e+34               3.5090e+33               1.1209e+35               6.1940e+33
            HESSJ1943+213      57354.09               8.1952e+33               1.1322e+33               1.1209e+35               5.1617e+33
            HESSJ1943+213      57356.05               8.3476e+33               2.1527e+33               1.1209e+35               5.1617e+33
            HESSJ1943+213      57365.05               1.0129e+34               2.6120e+33               1.0903e+35               6.0252e+33
            HESSJ1943+213      57462.53               1.5190e+34               2.7980e+33               1.1417e+35               1.0515e+34
            HESSJ1943+213      57471.53               5.4646e+33               5.0329e+33               1.0129e+35               1.1194e+34
            HESSJ1943+213      57472.48               8.8218e+33               2.6812e+33               1.1629e+35               1.1782e+34
            HESSJ1943+213      57473.52               5.0299e+33               4.8178e+33               1.1629e+35               1.3924e+34
            HESSJ1943+213      57487.49               8.5814e+33               1.4226e+33               1.1417e+35               1.1567e+34
            HESSJ1943+213      57488.48               8.5027e+33               1.4096e+33               1.1209e+35               1.1356e+34
            HESSJ1943+213      57491.50               3.5445e+33               3.0360e+33               1.1106e+35               1.1252e+34
            HESSJ1943+213      57515.48               7.5433e+33               1.1810e+33               1.1523e+35               4.2450e+33
            HESSJ1943+213      57516.48               1.0129e+34               1.3993e+33               1.1209e+35               4.1293e+33
            HESSJ1943+213      57517.48               1.1417e+34               1.2618e+33               1.1004e+35               4.0540e+33
            HESSJ1943+213      57521.47               1.0903e+34               1.1046e+33               1.1417e+35               4.2061e+33
            HESSJ1943+213      57524.48               9.7625e+33               2.3377e+33               1.1004e+35               5.0674e+33
            HESSJ1943+213      57543.43               1.2066e+34               1.1113e+33               1.0903e+35               6.0252e+33
            HESSJ1943+213      57551.46               9.5843e+33               1.1475e+33               1.1313e+35               6.2513e+33
            HESSJ1943+213      57572.46               1.2519e+34               1.3836e+33               1.1417e+35               7.3607e+33
            HESSJ1943+213      57573.36               1.2869e+34               1.1853e+33               1.1106e+35               6.1372e+33
            HESSJ1943+213      57579.36               1.2404e+34               1.2566e+33               1.1209e+35               7.2263e+33
            HESSJ1943+213      57580.18               1.1955e+34               1.4314e+33               1.1004e+35               7.0944e+33
            HESSJ1943+213      57581.42               1.0704e+34               1.0845e+33               1.1523e+35               6.3675e+33
            HESSJ1943+213      57582.18               1.1523e+34               1.5919e+33               1.1313e+35               7.2932e+33
            HESSJ1943+213      57623.15               1.1313e+34               1.2503e+33               1.0903e+35               7.0294e+33
            HESSJ1943+213      57634.24               1.3853e+34               1.4035e+33               1.1004e+35               7.0944e+33
            HESSJ1943+213      57635.23               1.1106e+34               1.2274e+33               1.0903e+35               8.0336e+33
            HESSJ1943+213      57663.11               1.5331e+34               1.4119e+33               1.1629e+35               7.4975e+33
            HESSJ1943+213      57665.10               1.1209e+34               1.3420e+33               1.0903e+35               9.0378e+33
            HESSJ1943+213      57677.12               1.1004e+34               2.7364e+33               1.1313e+35               1.0419e+34
            HESSJ1943+213      57681.08               1.0413e+34               1.3426e+33               1.1417e+35               8.4122e+33
            HESSJ1943+213      57682.11               1.2519e+34               1.4989e+33               1.1417e+35               9.4637e+33
            HESSJ1943+213      57683.12               8.6608e+33               1.4358e+33               1.1417e+35               1.0515e+34
            HESSJ1943+213      57687.11               8.4248e+33               1.3191e+33               1.1209e+35               1.0323e+34
            HESSJ1943+213      57704.08               4.6726e+33               2.1087e+33               1.1417e+35               1.0515e+34
            HESSJ1943+213      57707.06               1.0129e+34               2.3322e+33               1.1955e+35               1.2112e+34
            HESSJ1943+213      57711.06               8.2710e+33               1.5997e+33               1.1209e+35               1.1356e+34
            HESSJ1943+213      57716.05               1.4913e+34               3.1590e+33               1.1417e+35               1.0515e+34
            HESSJ1943+213      57814.54               9.5843e+33               3.0895e+33               1.1004e+35               7.0944e+33
            HESSJ1943+213      57818.53               6.2742e+33               1.5024e+33               1.1209e+35               6.1940e+33
            HESSJ1943+213      57819.54               1.1955e+34               3.9639e+33               1.0413e+35               8.6310e+33
            HESSJ1943+213      57822.53               8.0456e+33               2.2971e+33               1.1209e+35               7.2263e+33
            HESSJ1943+213      57826.51               5.6177e+33               2.3800e+33               1.0509e+35               7.7430e+33
