                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      57106.51               7.4775e+34               4.8207e+33               1.9668e+35               1.0868e+34
            HESSJ1943+213      57107.52               6.2770e+34               6.3593e+33               1.8610e+35               1.1998e+34
            HESSJ1943+213      57113.52               7.6165e+34               4.9103e+33               1.8956e+35               8.7294e+33
            HESSJ1943+213      57117.45               7.4089e+34               4.7765e+33               1.8440e+35               1.0190e+34
            HESSJ1943+213      57118.51               7.6165e+34               4.9103e+33               1.9132e+35               1.0572e+34
            HESSJ1943+213      57131.48               8.1237e+34               5.2373e+33               1.8783e+35               1.2109e+34
            HESSJ1943+213      57135.49               8.2747e+34               4.5726e+33               1.8956e+35               1.0475e+34
            HESSJ1943+213      57137.43               7.9023e+34               5.0946e+33               1.9132e+35               1.0572e+34
            HESSJ1943+213      57139.40               8.1989e+34               5.2858e+33               1.9487e+35               1.0769e+34
            HESSJ1943+213      57140.39               7.7581e+34               5.0016e+33               1.9132e+35               1.0572e+34
            HESSJ1943+213      57145.48               7.2737e+34               4.6893e+33               1.9132e+35               1.2334e+34
            HESSJ1943+213      57160.43               7.8299e+34               5.0479e+33               1.9668e+35               1.2680e+34
            HESSJ1943+213      57162.33               7.8299e+34               5.7690e+33               1.8956e+35               1.2221e+34
            HESSJ1943+213      57163.46               8.1989e+34               6.0409e+33               1.9309e+35               1.2448e+34
            HESSJ1943+213      57165.47               7.6165e+34               4.9103e+33               1.9309e+35               1.0670e+34
            HESSJ1943+213      57166.45               8.1237e+34               5.2373e+33               1.9487e+35               1.0769e+34
            HESSJ1943+213      57167.43               7.9023e+34               5.8224e+33               1.9487e+35               1.2564e+34
            HESSJ1943+213      57170.47               7.6869e+34               4.9558e+33               1.9309e+35               1.2448e+34
            HESSJ1943+213      57171.47               7.3410e+34               4.7327e+33               1.8610e+35               1.0284e+34
            HESSJ1943+213      57172.48               7.9023e+34               6.5502e+33               1.9132e+35               1.4096e+34
