                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      56562.10               3.0364e+34               1.6779e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      56564.09               2.6203e+34               1.9307e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      56565.09               3.1795e+34               2.0498e+33               1.4400e+35               6.6311e+33
            HESSJ1943+213      56584.07               2.5256e+34               2.3260e+33               1.4137e+35               6.5101e+33
            HESSJ1943+213      56585.08               2.5725e+34               2.1324e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      56588.07               2.8732e+34               1.8523e+33               1.4803e+35               5.4535e+33
            HESSJ1943+213      56589.10               2.4795e+34               2.9687e+33               1.1977e+35               1.4340e+34
            HESSJ1943+213      56590.07               3.2686e+34               2.1073e+33               1.5079e+35               6.9437e+33
            HESSJ1943+213      56596.12               2.9810e+34               1.9218e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      56611.10               2.6938e+34               2.2329e+33               1.4268e+35               6.5704e+33
            HESSJ1943+213      56720.54               2.0814e+34               3.0672e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      56721.53               2.2822e+34               1.8917e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      56723.54               3.5185e+34               3.5646e+33               1.4007e+35               7.7405e+33
            HESSJ1943+213      56728.53               2.6691e+34               2.2124e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      56733.53               3.1504e+34               3.1916e+33               1.5079e+35               6.9437e+33
            HESSJ1943+213      56734.52               2.1007e+34               2.7086e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      56749.46               3.0364e+34               1.9576e+33               1.5079e+35               6.9437e+33
            HESSJ1943+213      56754.46               3.0086e+34               1.6625e+33               1.5079e+35               5.5549e+33
            HESSJ1943+213      56755.51               2.8468e+34               2.6219e+33               1.3752e+35               6.3327e+33
            HESSJ1943+213      56756.46               3.0929e+34               1.9940e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      56758.50               2.9810e+34               2.1964e+33               1.4533e+35               8.0310e+33
            HESSJ1943+213      56760.50               2.7692e+34               1.7853e+33               1.5079e+35               6.9437e+33
            HESSJ1943+213      56761.46               3.0086e+34               2.4938e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      56762.46               3.2089e+34               2.6599e+33               1.4007e+35               6.4504e+33
